name,high,low,open,close,avg,volume,day
THB,15.90879121,15.88681319,15.88901099,15.90659341,15.90113187,507,2022-01-01 to 2022-05-22
ICN,80.80769231,79.51868132,79.65384615,80.6043956,80.24431868,492,2022-01-01 to 2022-05-22
QHD,44.41648352,43.95054945,44.16923077,44.0989011,44.22498901,489,2022-01-01 to 2022-05-22
VTL,12.57142857,12.50989011,12.51428571,12.55934066,12.52827473,482,2022-01-01 to 2022-05-22
BST,16.96813187,16.55934066,16.74615385,16.84285714,16.73681319,475,2022-01-01 to 2022-05-22
HNP,23.79340659,23.79340659,23.79340659,23.79340659,23.79340659,471,2022-01-01 to 2022-05-22
BTU,14.04725275,13.94175824,13.97582418,14.01208791,13.9882967,456,2022-01-01 to 2022-05-22
DTV,36.17802198,36.03076923,36.04175824,36.16703297,36.06038462,445,2022-01-01 to 2022-05-22
ADC,23.64945055,23.38461538,23.45384615,23.57032967,23.48765934,437,2022-01-01 to 2022-05-22
TDW,39.54120879,39.4467033,39.4489011,39.52582418,14.44967033,435,2022-01-01 to 2022-05-22
SDN,48.55824176,47.20549451,48.24395604,47.50549451,48.08846154,429,2022-01-01 to 2022-05-22
WCS,182.8648352,181.2791209,181.7252747,182.3527473,182.0461978,414,2022-01-01 to 2022-05-22
VQC,20.96483516,20.64505495,20.84175824,20.74505495,20.76837363,404,2022-01-01 to 2022-05-22
HES,17.87582418,17.77582418,17.86043956,17.80769231,17.78678022,393,2022-01-01 to 2022-05-22
PND,18.11428571,17.65494505,17.83736264,17.97582418,17.94865934,392,2022-01-01 to 2022-05-22
DBM,34.0032967,33.90549451,33.90549451,34.0032967,33.97502198,392,2022-01-01 to 2022-05-22
PSC,15.58461538,15.40659341,15.43846154,15.52857143,15.51842857,388,2022-01-01 to 2022-05-22
SPA,13.17362637,13.14835165,13.15384615,13.16813187,13.16241758,373,2022-01-01 to 2022-05-22
VTH,11.32417582,11.28131868,11.29340659,11.30989011,11.30847253,366,2022-01-01 to 2022-05-22
MCC,11.12967033,11.08681319,11.12967033,11.08681319,11.12697802,364,2022-01-01 to 2022-05-22
PIS,12.16703297,12.02197802,12.08461538,12.09230769,12.08861538,363,2022-01-01 to 2022-05-22
HOT,37.29010989,36.93461538,37.07362637,37.17417582,17.88934066,356,2022-01-01 to 2022-05-22
BTG,6.938461538,6.784615385,6.895604396,6.830769231,6.89256044,355,2022-01-01 to 2022-05-22
PTP,16.05054945,16.00769231,16.00769231,16.05054945,16.02862637,354,2022-01-01 to 2022-05-22
DOC,10.61868132,10.5989011,10.5989011,10.61758242,10.61201099,346,2022-01-01 to 2022-05-22
CCV,18.80659341,18.80659341,18.80659341,18.80659341,18.80659341,343,2022-01-01 to 2022-05-22
TW3,17.34285714,17.20879121,17.27582418,17.32087912,17.30194505,342,2022-01-01 to 2022-05-22
NGC,14.47582418,14.34395604,14.38461538,14.42527473,14.41220879,340,2022-01-01 to 2022-05-22
CJC,14.84285714,14.68681319,14.73296703,14.80879121,14.76765934,335,2022-01-01 to 2022-05-22
SDC,10.03296703,9.979120879,10.0021978,10.00659341,10.00892308,325,2022-01-01 to 2022-05-22
HNB,15.08021978,14.88241758,14.92527473,15.03406593,14.96384615,321,2022-01-01 to 2022-05-22
NNT,37.44285714,37.14615385,37.20879121,37.37032967,37.3170989,310,2022-01-01 to 2022-05-22
SVC,108.0703297,106.9989011,107.0043956,107.9043956,49.45076923,307,2022-01-01 to 2022-05-22
DLR,13.65824176,13.58571429,13.58791209,13.65824176,13.63410989,303,2022-01-01 to 2022-05-22
TPH,12.47582418,12.45384615,12.47582418,12.45384615,12.46483516,296,2022-01-01 to 2022-05-22
KCE,13.93186813,13.71758242,13.74285714,13.8978022,13.82338462,283,2022-01-01 to 2022-05-22
DPC,22.75164835,22.62527473,22.7032967,22.67362637,22.69789011,274,2022-01-01 to 2022-05-22
SEB,51.96703297,51.64945055,51.74615385,51.83626374,51.77440659,272,2022-01-01 to 2022-05-22
DPP,18.85274725,18.7978022,18.82527473,18.82527473,18.81741758,271,2022-01-01 to 2022-05-22
VBH,14.48901099,14.36153846,14.42087912,14.41868132,14.40896703,267,2022-01-01 to 2022-05-22
HFX,5.83956044,5.83956044,5.83956044,5.83956044,5.83956044,265,2022-01-01 to 2022-05-22
HLY,16.96923077,16.61318681,16.77912088,16.71098901,16.79521978,250,2022-01-01 to 2022-05-22
HBD,16.52967033,16.50879121,16.51538462,16.52307692,16.52193407,243,2022-01-01 to 2022-05-22
VDT,29.43626374,29.23406593,29.43296703,29.23626374,29.27297802,241,2022-01-01 to 2022-05-22
VGP,27.57032967,27.44615385,27.44615385,27.57032967,27.50251648,231,2022-01-01 to 2022-05-22
ISG,8.320879121,8.276923077,8.276923077,8.318681319,8.287813187,231,2022-01-01 to 2022-05-22
UCT,9.998901099,9.869230769,9.930769231,9.957142857,9.938395604,213,2022-01-01 to 2022-05-22
SAF,62.13516484,61.95274725,61.96373626,62.12417582,62.03150549,213,2022-01-01 to 2022-05-22
SSC,39.0956044,38.75,38.85494505,38.97747253,21.33857143,210,2022-01-01 to 2022-05-22
TMG,64.51758242,63.86483516,63.89010989,64.48131868,64.25462637,209,2022-01-01 to 2022-05-22
VCW,38.73516484,38.52087912,38.69340659,38.57252747,38.56891209,208,2022-01-01 to 2022-05-22
MTC,9.245054945,9.241758242,9.242857143,9.243956044,9.243824176,198,2022-01-01 to 2022-05-22
PEQ,45.57692308,45.32967033,45.37912088,45.52747253,45.4436044,197,2022-01-01 to 2022-05-22
BT1,18.26483516,17.98681319,18.17142857,18.07252747,18.15184615,197,2022-01-01 to 2022-05-22
BWA,12.55164835,12.41098901,12.44505495,12.51648352,12.48332967,189,2022-01-01 to 2022-05-22
VIR,8.467032967,8.420879121,8.432967033,8.458241758,8.430956044,188,2022-01-01 to 2022-05-22
HEV,30.82197802,30.72197802,30.74065934,30.82197802,30.74107692,187,2022-01-01 to 2022-05-22
SVI,69.84945055,69.63296703,69.75054945,69.7,18.96615385,185,2022-01-01 to 2022-05-22
PJS,18.83406593,18.7978022,18.8,18.8,18.81261538,178,2022-01-01 to 2022-05-22
SAP,16.76263736,16.61978022,16.62307692,16.75934066,16.68483516,176,2022-01-01 to 2022-05-22
